name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_main_address,addresses_type,values_value,values_outstanding,secondary_filters_name,secondary_filters_tree,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date,año_creacion,mes_creacion,dia_semana_creacion,categoria_centro,periodo_creacion,numero_direccion,categoria_direccion,decada,antiguedad,categoria_antiguedad,numero_direccion_cat,coordenadas_validas,datos_validos
Escola Els Xiprers,1987-11-23 23:00:00+00:00,2022-09-17 02:56:02.338997+00:00,,,700800,Camí Salze,13,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8017,True,,932049210,True,Educació primària,651,424996.3731843426,4585765.136794851,41.41994340301173,2.1024614168090343,,,,1987,11,Monday,Educación Primaria,1980s,13,Bajo,1980,37,Histórico,Normal,True,True
Escola de Perruqueria Miguel Griñó,2016-01-08 13:22:12+00:00,2022-10-17 10:48:58.071104+00:00,,,329902,C Tamarit,151,10,Sant Antoni,2,Eixample,8015,True,,93 426 66 09,True,Formació professional,651,429773.2017812299,4581083.09048885,41.37820559348554,2.1601608104554217,,,,2016,1,Friday,Educación Secundaria y FP,2010s,151,Alto,2010,8,Reciente,Alto,True,True
Escola Fluvià,2007-02-08 09:32:47+00:00,2023-08-29 11:26:28.212229+00:00,,,128106,C Fluvià,60,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,True,,933031016,True,Ensenyament infantil (3-6 anys),651,433729.4796887195,4584249.648393384,41.40706157632974,2.207122795296649,,,,2007,2,Thursday,Educación Infantil,2000s,60,Medio,2000,17,Establecido,Normal,True,True
Escola Fluvià,2007-02-08 09:32:47+00:00,2023-08-29 11:26:28.212229+00:00,,,128106,C Fluvià,60,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,True,,933031016,True,Educació primària,651,433729.4796887195,4584249.648393384,41.40706157632974,2.207122795296649,,,,2007,2,Thursday,Educación Primaria,2000s,60,Medio,2000,17,Establecido,Normal,True,True
Facultat de Medicina i Ciències de la Salut - UB,1988-04-11 22:00:00+00:00,2024-05-24 09:03:40.217498+00:00,,,70607,C Casanova,143,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,True,,934 035 250,True,Universitats,651,429119.381871757,4582349.613992283,41.38955539831457,2.152194463242196,,,,1988,4,Monday,Educación Superior,1980s,143,Alto,1980,36,Histórico,Alto,True,True
Centre Educatiu Escolàpies Llúria-Barcelona,1989-11-15 23:00:00+00:00,2022-09-17 02:53:32.256780+00:00,,,18505,C Aragó,302,7,la Dreta de l'Eixample,2,Eixample,8009,True,,934882166,True,Ensenyament infantil (0-3 anys),651,430446.613864422,4582867.7462127805,41.394337909215984,2.168008408286293,,,,1989,11,Wednesday,Educación Infantil,1980s,302,Muy alto,1980,35,Histórico,Alto,True,True
Centre Educatiu Escolàpies Llúria-Barcelona,1989-11-15 23:00:00+00:00,2022-09-17 02:53:32.256780+00:00,,,18505,C Aragó,302,7,la Dreta de l'Eixample,2,Eixample,8009,True,,934882166,True,Ensenyament infantil (3-6 anys),651,430446.613864422,4582867.7462127805,41.394337909215984,2.168008408286293,,,,1989,11,Wednesday,Educación Infantil,1980s,302,Muy alto,1980,35,Histórico,Alto,True,True
Centre Educatiu Escolàpies Llúria-Barcelona,1989-11-15 23:00:00+00:00,2022-09-17 02:53:32.256780+00:00,,,18505,C Aragó,302,7,la Dreta de l'Eixample,2,Eixample,8009,True,,934882166,True,Educació primària,651,430446.613864422,4582867.7462127805,41.394337909215984,2.168008408286293,,,,1989,11,Wednesday,Educación Primaria,1980s,302,Muy alto,1980,35,Histórico,Alto,True,True
Centre Educatiu Escolàpies Llúria-Barcelona,1989-11-15 23:00:00+00:00,2022-09-17 02:53:32.256780+00:00,,,18505,C Aragó,302,7,la Dreta de l'Eixample,2,Eixample,8009,True,,934882166,True,Educació secundària,651,430446.613864422,4582867.7462127805,41.394337909215984,2.168008408286293,,,,1989,11,Wednesday,Educación Secundaria y FP,1980s,302,Muy alto,1980,35,Histórico,Alto,True,True
Centre Educatiu Joan Pelegrí,1989-11-20 23:00:00+00:00,2022-01-05 08:09:43.535716+00:00,,,89004,Carrer del Consell de Cent,14,15,Hostafrancs,3,Sants-Montjuïc,8014,True,,934316200,True,Ensenyament infantil (3-6 anys),651,428465.2305515664,4580836.573620921,41.37587008897511,2.14454959168278,,,,1989,11,Monday,Educación Infantil,1980s,14,Bajo,1980,35,Histórico,Normal,True,True
Centre Educatiu Joan Pelegrí,1989-11-20 23:00:00+00:00,2022-01-05 08:09:43.535716+00:00,,,89004,Carrer del Consell de Cent,14,15,Hostafrancs,3,Sants-Montjuïc,8014,True,,934316200,True,Educació primària,651,428465.2305515664,4580836.573620921,41.37587008897511,2.14454959168278,,,,1989,11,Monday,Educación Primaria,1980s,14,Bajo,1980,35,Histórico,Normal,True,True
Centre Educatiu Joan Pelegrí,1989-11-20 23:00:00+00:00,2022-01-05 08:09:43.535716+00:00,,,89004,Carrer del Consell de Cent,14,15,Hostafrancs,3,Sants-Montjuïc,8014,True,,934316200,True,Educació secundària,651,428465.2305515664,4580836.573620921,41.37587008897511,2.14454959168278,,,,1989,11,Monday,Educación Secundaria y FP,1980s,14,Bajo,1980,35,Histórico,Normal,True,True
