equipament,indicador,valor,notes_dades,notes_equipament,codi_districte,nom_districte,codi_barri,nom_barri,latitud,longitud
Centre Cívic Sarrià,ActivitatsDeFormacio,165,,El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.,5,Sarrià-Sant Gervasi,23,Sarrià,41.393871979,2.121163587
Centre Cívic Sarrià,InscripcionsActivitatsFormacio,1733,,El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.,5,Sarrià-Sant Gervasi,23,Sarrià,41.393871979,2.121163587
Centre Cívic Sarrià,Metres_quadrats,1011,,El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.,5,Sarrià-Sant Gervasi,23,Sarrià,41.393871979,2.121163587
Centre Cívic Teixonera,ActivitatsDeFormacio,117,,,7,Horta-Guinardó,38,la Teixonera,41.422637884,2.144554558
Centre Cívic Teixonera,InscripcionsActivitatsFormacio,1335,,,7,Horta-Guinardó,38,la Teixonera,41.422637884,2.144554558
Centre Cívic Teixonera,Metres_quadrats,841,,,7,Horta-Guinardó,38,la Teixonera,41.422637884,2.144554558
Centre Cívic Tomasa Cuevas - Les Corts,ActivitatsDeFormacio,116,,,4,Les Corts,19,les Corts,41.384783744,2.128318397
Centre Cívic Tomasa Cuevas - Les Corts,InscripcionsActivitatsFormacio,818,,,4,Les Corts,19,les Corts,41.384783744,2.128318397
Centre Cívic Tomasa Cuevas - Les Corts,Metres_quadrats,1603,,,4,Les Corts,19,les Corts,41.384783744,2.128318397
Centre Cívic Torre Llobeta,ActivitatsDeFormacio,139,,,8,Nou Barris,44,Vilapicina i la Torre Llobeta,41.426896898,2.173951442
Centre Cívic Torre Llobeta,InscripcionsActivitatsFormacio,1769,,,8,Nou Barris,44,Vilapicina i la Torre Llobeta,41.426896898,2.173951442
Centre Cívic Torre Llobeta,Metres_quadrats,738,,,8,Nou Barris,44,Vilapicina i la Torre Llobeta,41.426896898,2.173951442
Centre Cívic Trinitat Vella,ActivitatsDeFormacio,85,,,9,Sant Andreu,57,la Trinitat Vella,41.451618627,2.1911896
Centre Cívic Trinitat Vella,InscripcionsActivitatsFormacio,848,,,9,Sant Andreu,57,la Trinitat Vella,41.451618627,2.1911896
Centre Cívic Trinitat Vella,Metres_quadrats,1650,,,9,Sant Andreu,57,la Trinitat Vella,41.451618627,2.1911896
Centre Cívic Urgell,ActivitatsDeFormacio,414,,,2,Eixample,9,la Nova Esquerra de l'Eixample,41.386861397,2.152032146
Centre Cívic Urgell,InscripcionsActivitatsFormacio,9591,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,2,Eixample,9,la Nova Esquerra de l'Eixample,41.386861397,2.152032146
Centre Cívic Urgell,Metres_quadrats,953,,,2,Eixample,9,la Nova Esquerra de l'Eixample,41.386861397,2.152032146
Centre Cívic Vallvidrera Vázquez Montalbán,ActivitatsDeFormacio,77,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.415364217,2.102530794
Centre Cívic Vallvidrera Vázquez Montalbán,InscripcionsActivitatsFormacio,942,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.415364217,2.102530794
Centre Cívic Vallvidrera Vázquez Montalbán,Metres_quadrats,618,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.415364217,2.102530794
Centre Cívic Vil·la Florida,ActivitatsDeFormacio,196,,,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.40533741,2.135294028
Centre Cívic Vil·la Florida,InscripcionsActivitatsFormacio,2550,,,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.40533741,2.135294028
Centre Cívic Vil·la Florida,Metres_quadrats,1574,,,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.40533741,2.135294028
Centre Cívic Vil·la Urània,ActivitatsDeFormacio,351,,,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,41.3986429,2.14276
